id,uri,prefLabel,definition
SDN:P02::MLFX,http://vocab.nerc.ac.uk/collection/P02/current/MLFX/,Sedimentation flux of metallic and metalloid elements and isotopes in water bodies,Parameters quantifying metal and metalloid fluxes as element concentration or isotope activities per unit area per unit time
SDN:P02::PSST,http://vocab.nerc.ac.uk/collection/P02/current/PSST/,Skin temperature of the water column,Temperature of the water column surface as measured by a radiometer.  It does NOT include temperature measurements in the upper few metres of the water column such as thermosalinograph data
SDN:P02::MZBC,http://vocab.nerc.ac.uk/collection/P02/current/MZBC/,Microzooplankton non taxonomy-related biomass expressed as carbon per unit volume of the water column,"Basically, any microzooplankton carbon biomass measurement that isn't included in parameter group MATC.  May include data integrations such as 'total microzooplankton'."
SDN:P02::ZCTC,http://vocab.nerc.ac.uk/collection/P02/current/ZCTC/,Zooplankton taxonomy-related biomass expressed as carbon per unit volume of the water column,"Zooplankton (mesozooplankton plus larger pelagic animals excluding fish, reptiles and mammals) carbon biomass parameters presented at the level of taxa that may be mapped to entities in a standard taxonomy registry such as WoRMS or ITIS.  These may be at any taxonomic level from sub-species upwards."
SDN:P02::EXCO,http://vocab.nerc.ac.uk/collection/P02/current/EXCO/,Light extinction and diffusion coefficients,Parameters relating to the extent of light penetration into the water column
SDN:P02::PCO2,http://vocab.nerc.ac.uk/collection/P02/current/PCO2/,Partial pressure (pCO2) and fugacity (fCO2) of carbon dioxide in the water column,
SDN:P02::ATTN,http://vocab.nerc.ac.uk/collection/P02/current/ATTN/,Transmittance and attenuance of the water column,Parameters relating to the rate of electromagnetic radiation intensity decrease as it travels through the water column
SDN:P02::TSED,http://vocab.nerc.ac.uk/collection/P02/current/TSED/,Concentration of suspended particulate material in the water column,"Parameters quantifying SPM concentration in the water column by weight, by volume or in terms of turbidity"
SDN:P02::NTOT,http://vocab.nerc.ac.uk/collection/P02/current/NTOT/,Particulate total and organic nitrogen concentrations in the water column,"Concentrations of total and organic nitrogen in the particulate phase of the water column, which is a function of both the SPM concentration in the water column and the concentration of nitrogen per unit weight of SPM. Note that it is commonly assumed that all particulate nitrogen is organic."
SDN:P02::OMET,http://vocab.nerc.ac.uk/collection/P02/current/OMET/,Other meteorological measurements,Bucket group for parameters that cannot be classified elsewhere
SDN:P02::DOCC,http://vocab.nerc.ac.uk/collection/P02/current/DOCC/,Dissolved organic carbon concentration in the water column,"DOC per unit volume of the water column.  Note that this includes some parameters that are strictly defined as total carbon, because the water was unfiltered on the assumption that POC was negligible."
SDN:P02::APZA,http://vocab.nerc.ac.uk/collection/P02/current/APZA/,Vertical platform movement,Parameters quantifying the upward and downward motion of objects mounting sensors or collecting samples.
SDN:P02::NTUP,http://vocab.nerc.ac.uk/collection/P02/current/NTUP/,New production in water bodies,Parameters quantifying the uptake rate of nitrate or gaseous nitrogen by flora and fauna living in any body of salt or fresh water
SDN:P02::MNGS,http://vocab.nerc.ac.uk/collection/P02/current/MNGS/,Sediment grain size parameters,"Parameters specifying the physical dimensions of the particles comprising unlithified sediment (including expressions of shape such as aspect ratio) and statistics derived from their variation in a sample (e.g. mean, mode, sorting, skewness)."
SDN:P02::SVEL,http://vocab.nerc.ac.uk/collection/P02/current/SVEL/,Sound velocity and travel time in the water column,
SDN:P02::GWDR,http://vocab.nerc.ac.uk/collection/P02/current/GWDR/,Wave direction,Direct measurements (including visual estimates) plus statistically derived parameters
SDN:P02::MBAN,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,Bathymetry and Elevation,"Depth of the water column or elevation of land surface relative to sea surface, geoid or other datum"
SDN:P02::LRZA,http://vocab.nerc.ac.uk/collection/P02/current/LRZA/,Vertical velocity of the water column (currents),Vertical water movement parameters including non-directional speeds
SDN:P02::TEMP,http://vocab.nerc.ac.uk/collection/P02/current/TEMP/,Temperature of the water column,Temperature parameters in any body of water at any point between the bed and the atmosphere excluding the top few microns sampled by radiometers known as the skin
SDN:P02::ATDP,http://vocab.nerc.ac.uk/collection/P02/current/ATDP/,Atmospheric deposition rates,Fluxes of chemical species from the atmosphere to sea or land surface including precipitation and aerosol deposition but excluding fluxes due to exchange of gases
SDN:P02::CATX,http://vocab.nerc.ac.uk/collection/P02/current/CATX/,Phytoplankton taxonomic biomass in water bodies,"Any parameterisation of biomass (e.g. wet weight, dry weight, carbon, nitrogen etc.) of free-floating autotrophic biological entities identified by their taxonomic names (e.g. family, genus, species) in any body of fresh or salt water."
SDN:P02::RVDS,http://vocab.nerc.ac.uk/collection/P02/current/RVDS/,River flow and discharge,"Parameters related to the volume of water passing through a point in a river system per unit time, including the rates of freshwater, dissolved material and particulate load discharge from a river into the sea."
SDN:P02::LVEG,http://vocab.nerc.ac.uk/collection/P02/current/LVEG/,Land vegetation,Parameters relating to land (including marshes and the intertidal zone) vegetation
